bin,cumulative_traveltime_dijkstra-fastest-path,cumulative_traveltime_dijkstra-shortest-path
51,0.4358034171626032,0.44044922249952
52,0.444845459781148,0.4494912651180648
53,0.4541754655404107,0.4581685544250335
54,0.4635438663851026,0.4668842388174313
55,0.4722787483202149,0.4751967748128239
56,0.4810520253407563,0.4831829525820694
57,0.4890957957381454,0.4905356114417354
58,0.4969283931656747,0.4984258014974083
59,0.5044922249952005,0.5052601267037818
60,0.5120752543674408,0.5125167978498751
61,0.5185256287195238,0.519504703397965
62,0.5248800153580341,0.5265118064887693
63,0.5311960069111152,0.5330389710117104
64,0.5373008254943366,0.5396045306200805
65,0.543770397389134,0.546112497600307
66,0.5500671913995007,0.5524860817815318
67,0.5566711460932998,0.558802073334613
68,0.562987137646381,0.5652908427721249
69,0.5692455365713186,0.5716452294106352
70,0.5749856018429639,0.5780764062200037
71,0.5814167786523323,0.5845651756575156
72,0.5876943751199845,0.5911691303513148
73,0.5942215396429256,0.5975619120752541
74,0.6006335189095794,0.6038971011710499
75,0.6067383374928007,0.6103090804377037
76,0.6134382799001725,0.6167210597043575
77,0.6200230370512572,0.6232098291418695
78,0.6266077942023418,0.629641005951238
79,0.6329045882127085,0.6362833557304662
80,0.6394317527356496,0.64290650796698
81,0.6460933000575924,0.6490497216356305
82,0.6526972547513915,0.655557688615857
83,0.659205221731618,0.6618736801689381
84,0.6661739297369933,0.6679976962948739
85,0.6725475139182181,0.6743328853906697
86,0.6787483202150121,0.6804185064311765
87,0.6853330773660967,0.6867153004415432
88,0.6914186984066035,0.6930504895373389
89,0.697888270301401,0.6992512958341329
90,0.7035323478594736,0.705816855442503
91,0.7090804377039736,0.712017661739297
92,0.7145901324630444,0.7173737761566517
93,0.7205029756191204,0.7230946438855823
94,0.7261086580917638,0.728815511614513
95,0.73181032827798,0.7343252063735838
96,0.7370704549817619,0.7397581109617964
97,0.7422153964292566,0.7451334229218656
98,0.7476291034747548,0.7506239201382219
99,0.7525628719523896,0.7559032443847183
100,0.7580917642541749,0.761547321942791
101,0.763179113073526,0.7667690535611438
102,0.7685928201190242,0.7717412171242077
103,0.7739873296218078,0.7766749856018426
104,0.7793242464964478,0.7816855442503355
105,0.7843923977730844,0.7866577078133995
106,0.7894797465924356,0.7910539450950275
107,0.7949510462660774,0.7961412939143786
108,0.7998272221155687,0.8006527164522937
109,0.805068151276636,0.8056824726435012
110,0.8100979074678435,0.8100979074678437
111,0.8146861201766168,0.8148013054329042
112,0.818947974659243,0.8194663083125356
113,0.8239009406795924,0.8243424841620269
114,0.8287963140717982,0.8287771165290839
115,0.8334805144941442,0.8334613169514299
116,0.8379535419466303,0.8383758878863502
117,0.842772125167978,0.8431752735649833
118,0.8472451526204641,0.8479170666154728
119,0.851967748128239,0.8525244768669606
120,0.8565175657515832,0.8570358994048758
121,0.860798617776924,0.8607986177769241
122,0.8647149164906887,0.8650028796314068
123,0.868400844691879,0.8687655980034551
124,0.8725667114609326,0.8720867728930692
125,0.8765598003455554,0.8754463428681124
126,0.8795546170090225,0.8788443079285847
