bin,cumulative_traveltime_fastest-ravenna-3,cumulative_traveltime_shortest-ravenna-3
80,0.6038958599443983,0.6046847997595614
81,0.609418438650537,0.6098316928394322
82,0.614809527387482,0.6151100758884968
83,0.6201630475618001,0.6205950860320086
84,0.6258171162371325,0.6257607633931928
85,0.6310203621609435,0.6312457735367046
86,0.635397099706965,0.6356976482079797
87,0.640506424224209,0.6409760312570443
88,0.6450897888646778,0.6455218273348864
89,0.6497295063490869,0.6505372304455633
90,0.6545007138026897,0.6552708693365393
91,0.659196784131039,0.6600984296340824
92,0.664024344428582,0.6646817942745512
93,0.6686828461943045,0.6693215117589603
94,0.6736606807423547,0.6742993463070105
95,0.6785258096025245,0.678957848072733
96,0.6830716056803666,0.6841047411526038
97,0.6876549703208354,0.689082575700654
98,0.6927267262754526,0.6938349988729434
99,0.6971786009467277,0.6984183635134122
100,0.7017807498685099,0.7033961980614625
101,0.7060823502892778,0.7082613269216322
102,0.7104215192726725,0.7131076715004887
103,0.7150612367570816,0.7175031933278236
104,0.719625817116237,0.7215981666541442
105,0.7239086332556914,0.7260500413254193
106,0.7284544293335335,0.7307648959350819
107,0.7331692839431961,0.7351040649184766
108,0.737846569990232,0.7394995867458115
109,0.7424862874746411,0.7439514614170866
110,0.7474641220226913,0.7490420016530172
111,0.7530242692914568,0.7537756405439932
112,0.7580396724021338,0.7580021038395075
113,0.7629048012623035,0.7628860169809907
114,0.7679014200916672,0.7675257344653997
115,0.7726914118265834,0.772127883387182
116,0.7768427379968441,0.7765985423397704
117,0.7811819069802388,0.7808813584792249
118,0.7853332331504995,0.7851641746186794
119,0.7891840108197459,0.7886768352242846
120,0.7931099256142459,0.7925276128935309
121,0.7972236832218798,0.795983920655196
122,0.8011308137350663,0.7997595611991888
123,0.8046810429032983,0.8027462619280189
124,0.8081937035089035,0.8056014726876553
125,0.8114433841761212,0.8085506048538585
126,0.8142985949357575,0.8113870313321815
127,0.8171725899767073,0.8145427905928322
128,0.819670899391389,0.8174355699150954
129,0.8222067773686976,0.8202156435494781
130,0.8249304981591402,0.8228266586520403
131,0.8282365316702981,0.825888496506124
132,0.8308099782102335,0.8289879029228344
133,0.8337403260951234,0.8318806822450976
134,0.836802163949207,0.8351303629123152
135,0.8399767074911711,0.8383988278608463
136,0.8432076038770754,0.8416672928093774
137,0.8462882260124724,0.8446727778195209
138,0.8492749267413026,0.8478848899241117
139,0.8526936659403408,0.8509655120595088
140,0.8558494252009915,0.8540649184762192
141,0.8593620858065967,0.8574085205500039
142,0.8627996092869483,0.8605079269667144
143,0.8661807799233597,0.8637200390713052
144,0.8696370876850248,0.8670824254264032
145,0.8731873168532568,0.8705575174693817
146,0.876606056052295,0.8743331580133745
147,0.8800247952513333,0.8777143286497859
148,0.8836877301074456,0.8817341648508529
149,0.8877075663085126,0.8859794124276806
150,0.8912014426328044,0.890018032910061
151,0.8949958674581107,0.8940566533924413
152,0.8984146066571489,0.8969494327147045
153,0.9021526786385148,0.9001239762566686
154,0.9055150649936128,0.9030543241415584
155,0.9085393342850698,0.9061912991208958
156,0.9115823878578402,0.9091967841310392
157,0.9146066571492972,0.9124088962356302
158,0.9177060635660076,0.9153016755578932
159,0.9211435870463592,0.9184386505372306
160,0.9239424449620554,0.921763468329702
161,0.9269479299721988,0.924750169058532
162,0.9300473363889094,0.927774438349989
163,0.9332782327748136,0.9306860019535654
164,0.9363588549102106,0.9340671725899768
165,0.939495829889548,0.9369975204748668
166,0.9423698249304976,0.9400593583289504
167,0.9446239386881052,0.9424825306183786
168,0.9468029153204592,0.9448305657825532
169,0.9485122849199784,0.9472537380719814
170,0.9500901645503038,0.9491509504846344
171,0.9515741227740622,0.9513299271169884
172,0.9530017281538804,0.9535652565932828
173,0.9544856863776386,0.9553497633180554
174,0.955969644601397,0.9566458787286798
175,0.9571906228867678,0.9575287399504094
176,0.9579044255766768,0.9582801112029452
177,0.9586557968292128,0.9590126981741678
178,0.9593508152378084,0.9596701480201368
179,0.9600834022090308,0.960440303553986
180,0.9608535577428802,0.9611728905252084
181,0.961604928995416,0.9619242617777444
182,0.962356300247952,0.9626756330302804
183,0.9630513186565476,0.9634082200015028
184,0.96378390562777,0.964084454128785
185,0.9645164925989924,0.9648358253813208
186,0.9652115110075882,0.9655871966338568
187,0.9659816665414376,0.966263430761139
188,0.96671425351266,0.9670335862949884
189,0.9674468404838824,0.9677473889848972
190,0.9681982117364184,0.9684799759561198
191,0.9689307987076408,0.9692125629273424
